id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol_image_source,logo_image_source
ex9,Emerald,EX,106,107,"{""unlimited"": ""Legal""}",EM,2005/05/01,2020/02/08 09:00:00,"""https://images.pokemontcg.io/ex9/symbol.png""","""https://images.pokemontcg.io/ex9/logo.png"""
ex10,Unseen Forces,EX,115,145,"{""unlimited"": ""Legal""}",UF,2005/08/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/ex10/symbol.png""","""https://images.pokemontcg.io/ex10/logo.png"""
pop2,POP Series 2,POP,17,17,"{""unlimited"": ""Legal""}",,2005/08/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/pop2/symbol.png""","""https://images.pokemontcg.io/pop2/logo.png"""
ex11,Delta Species,EX,113,114,"{""unlimited"": ""Legal""}",DS,2005/10/31,2020/05/01 16:06:00,"""https://images.pokemontcg.io/ex11/symbol.png""","""https://images.pokemontcg.io/ex11/logo.png"""
ex12,Legend Maker,EX,92,93,"{""unlimited"": ""Legal""}",LM,2006/02/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/ex12/symbol.png""","""https://images.pokemontcg.io/ex12/logo.png"""
tk2a,EX Trainer Kit 2 Plusle,EX,12,12,"{""unlimited"": ""Legal""}",,2006/03/01,2022/01/13 20:44:00,"""https://images.pokemontcg.io/tk2a/symbol.png""","""https://images.pokemontcg.io/tk2a/logo.png"""
tk2b,EX Trainer Kit 2 Minun,EX,12,12,"{""unlimited"": ""Legal""}",,2006/03/01,2022/01/13 20:44:00,"""https://images.pokemontcg.io/tk2b/symbol.png""","""https://images.pokemontcg.io/tk2b/logo.png"""
pop3,POP Series 3,POP,17,17,"{""unlimited"": ""Legal""}",,2006/04/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/pop3/symbol.png""","""https://images.pokemontcg.io/pop3/logo.png"""
ex13,Holon Phantoms,EX,110,111,"{""unlimited"": ""Legal""}",HP,2006/05/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/ex13/symbol.png""","""https://images.pokemontcg.io/ex13/logo.png"""
ex14,Crystal Guardians,EX,100,100,"{""unlimited"": ""Legal""}",CG,2006/08/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/ex14/symbol.png""","""https://images.pokemontcg.io/ex14/logo.png"""
pop4,POP Series 4,POP,17,17,"{""unlimited"": ""Legal""}",,2006/08/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/pop4/symbol.png""","""https://images.pokemontcg.io/pop4/logo.png"""
ex15,Dragon Frontiers,EX,101,101,"{""unlimited"": ""Legal""}",DF,2006/11/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/ex15/symbol.png""","""https://images.pokemontcg.io/ex15/logo.png"""
pop5,POP Series 5,POP,17,17,"{""unlimited"": ""Legal""}",,2007/03/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/pop5/symbol.png""","""https://images.pokemontcg.io/pop5/logo.png"""
