id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol_image_source,logo_image_source
ex16,Power Keepers,EX,108,108,"{""unlimited"": ""Legal""}",PK,2007/02/02,2018/03/04 10:35:00,"""https://images.pokemontcg.io/ex16/symbol.png""","""https://images.pokemontcg.io/ex16/logo.png"""
dp1,Diamond & Pearl,Diamond & Pearl,130,130,"{""unlimited"": ""Legal""}",DP,2007/05/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/dp1/symbol.png""","""https://images.pokemontcg.io/dp1/logo.png"""
dpp,DP Black Star Promos,Diamond & Pearl,56,56,"{""unlimited"": ""Legal""}",PR-DPP,2007/05/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/dpp/symbol.png""","""https://images.pokemontcg.io/dpp/logo.png"""
dp2,Mysterious Treasures,Diamond & Pearl,123,124,"{""unlimited"": ""Legal""}",MT,2007/08/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/dp2/symbol.png""","""https://images.pokemontcg.io/dp2/logo.png"""
pop6,POP Series 6,POP,17,17,"{""unlimited"": ""Legal""}",,2007/09/01,2020/05/01 16:06:00,"""https://images.pokemontcg.io/pop6/symbol.png""","""https://images.pokemontcg.io/pop6/logo.png"""
dp3,Secret Wonders,Diamond & Pearl,132,132,"{""unlimited"": ""Legal""}",SW,2007/11/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/dp3/symbol.png""","""https://images.pokemontcg.io/dp3/logo.png"""
dp4,Great Encounters,Diamond & Pearl,106,106,"{""unlimited"": ""Legal""}",GE,2008/02/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/dp4/symbol.png""","""https://images.pokemontcg.io/dp4/logo.png"""
pop7,POP Series 7,POP,17,17,"{""unlimited"": ""Legal""}",,2008/03/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/pop7/symbol.png""","""https://images.pokemontcg.io/pop7/logo.png"""
dp5,Majestic Dawn,Diamond & Pearl,100,100,"{""unlimited"": ""Legal""}",MD,2008/05/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/dp5/symbol.png""","""https://images.pokemontcg.io/dp5/logo.png"""
dp6,Legends Awakened,Diamond & Pearl,146,146,"{""unlimited"": ""Legal""}",LA,2008/08/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/dp6/symbol.png""","""https://images.pokemontcg.io/dp6/logo.png"""
pop8,POP Series 8,POP,17,17,"{""unlimited"": ""Legal""}",,2008/09/01,2018/03/04 10:35:00,"""https://images.pokemontcg.io/pop8/symbol.png""","""https://images.pokemontcg.io/pop8/logo.png"""
dp7,Stormfront,Diamond & Pearl,100,106,"{""unlimited"": ""Legal""}",SF,2008/11/01,2020/05/01 16:06:00,"""https://images.pokemontcg.io/dp7/symbol.png""","""https://images.pokemontcg.io/dp7/logo.png"""
pl1,Platinum,Platinum,127,133,"{""unlimited"": ""Legal""}",PL,2009/02/11,2020/08/14 09:35:00,"""https://images.pokemontcg.io/pl1/symbol.png""","""https://images.pokemontcg.io/pl1/logo.png"""
pop9,POP Series 9,POP,17,17,"{""unlimited"": ""Legal""}",,2009/03/01,2020/05/01 16:06:00,"""https://images.pokemontcg.io/pop9/symbol.png""","""https://images.pokemontcg.io/pop9/logo.png"""
pl2,Rising Rivals,Platinum,111,120,"{""unlimited"": ""Legal""}",RR,2009/05/16,2020/08/14 09:35:00,"""https://images.pokemontcg.io/pl2/symbol.png""","""https://images.pokemontcg.io/pl2/logo.png"""
pl3,Supreme Victors,Platinum,147,153,"{""unlimited"": ""Legal""}",SV,2009/08/19,2018/03/07 22:40:00,"""https://images.pokemontcg.io/pl3/symbol.png""","""https://images.pokemontcg.io/pl3/logo.png"""
pl4,Arceus,Platinum,99,111,"{""unlimited"": ""Legal""}",AR,2009/11/04,2021/07/15 11:30:00,"""https://images.pokemontcg.io/pl4/symbol.png""","""https://images.pokemontcg.io/pl4/logo.png"""
ru1,Pokémon Rumble,Other,16,16,"{""unlimited"": ""Legal""}",,2009/12/02,2019/01/28 16:44:00,"""https://images.pokemontcg.io/ru1/symbol.png""","""https://images.pokemontcg.io/ru1/logo.png"""
hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,123,124,"{""unlimited"": ""Legal""}",HS,2010/02/10,2018/03/04 10:35:00,"""https://images.pokemontcg.io/hgss1/symbol.png""","""https://images.pokemontcg.io/hgss1/logo.png"""
hsp,HGSS Black Star Promos,HeartGold & SoulSilver,25,25,"{""unlimited"": ""Legal""}",PR-HS,2010/02/10,2019/01/28 16:44:00,"""https://images.pokemontcg.io/hsp/symbol.png""","""https://images.pokemontcg.io/hsp/logo.png"""
hgss2,HS—Unleashed,HeartGold & SoulSilver,95,96,"{""unlimited"": ""Legal""}",UL,2010/05/12,2018/03/04 10:35:00,"""https://images.pokemontcg.io/hgss2/symbol.png""","""https://images.pokemontcg.io/hgss2/logo.png"""
hgss3,HS—Undaunted,HeartGold & SoulSilver,90,91,"{""unlimited"": ""Legal""}",UD,2010/08/18,2018/03/04 10:35:00,"""https://images.pokemontcg.io/hgss3/symbol.png""","""https://images.pokemontcg.io/hgss3/logo.png"""
hgss4,HS—Triumphant,HeartGold & SoulSilver,102,103,"{""unlimited"": ""Legal""}",TM,2010/11/03,2018/03/04 10:35:00,"""https://images.pokemontcg.io/hgss4/symbol.png""","""https://images.pokemontcg.io/hgss4/logo.png"""
col1,Call of Legends,HeartGold & SoulSilver,95,106,"{""unlimited"": ""Legal""}",CL,2011/02/09,2018/03/04 10:35:00,"""https://images.pokemontcg.io/col1/symbol.png""","""https://images.pokemontcg.io/col1/logo.png"""
bwp,BW Black Star Promos,Black & White,101,101,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PR-BLW,2011/03/01,2020/08/14 09:35:00,"""https://images.pokemontcg.io/bwp/symbol.png""","""https://images.pokemontcg.io/bwp/logo.png"""
bw1,Black & White,Black & White,114,115,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",BLW,2011/04/25,2018/11/29 19:56:00,"""https://images.pokemontcg.io/bw1/symbol.png""","""https://images.pokemontcg.io/bw1/logo.png"""
mcd11,McDonald's Collection 2011,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2011/06/17,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd11/symbol.png""","""https://images.pokemontcg.io/mcd11/logo.png"""
bw2,Emerging Powers,Black & White,98,98,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",EPO,2011/08/31,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw2/symbol.png""","""https://images.pokemontcg.io/bw2/logo.png"""
bw3,Noble Victories,Black & White,101,102,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",NVI,2011/11/16,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw3/symbol.png""","""https://images.pokemontcg.io/bw3/logo.png"""
bw4,Next Destinies,Black & White,99,103,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",NXD,2012/02/08,2019/01/28 16:44:00,"""https://images.pokemontcg.io/bw4/symbol.png""","""https://images.pokemontcg.io/bw4/logo.png"""
bw5,Dark Explorers,Black & White,108,111,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DEX,2012/05/09,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw5/symbol.png""","""https://images.pokemontcg.io/bw5/logo.png"""
mcd12,McDonald's Collection 2012,Other,12,12,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",,2012/06/15,2022/10/10 15:12:00,"""https://images.pokemontcg.io/mcd12/symbol.png""","""https://images.pokemontcg.io/mcd12/logo.png"""
bw6,Dragons Exalted,Black & White,124,128,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DRX,2012/08/15,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw6/symbol.png""","""https://images.pokemontcg.io/bw6/logo.png"""
dv1,Dragon Vault,Black & White,20,21,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",DRV,2012/10/05,2019/01/28 16:44:00,"""https://images.pokemontcg.io/dv1/symbol.png""","""https://images.pokemontcg.io/dv1/logo.png"""
bw7,Boundaries Crossed,Black & White,149,153,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",BCR,2012/11/07,2018/03/04 10:35:00,"""https://images.pokemontcg.io/bw7/symbol.png""","""https://images.pokemontcg.io/bw7/logo.png"""
bw8,Plasma Storm,Black & White,135,138,"{""unlimited"": ""Legal"", ""expanded"": ""Legal""}",PLS,2013/02/06,2020/08/14 09:35:00,"""https://images.pokemontcg.io/bw8/symbol.png""","""https://images.pokemontcg.io/bw8/logo.png"""
